13735_0:00000e	50089at32523	102447862
13735_0:000011	287006at32523	106732805
13735_0:000017	34767at32523	102449470
13735_0:000026	205434at32523	102454832
13735_0:00002e	206157at32523	102459177
13735_0:000069	24068at32523	102454744
13735_0:00006c	65318at32523	102455660
13735_0:00006d	155180at32523	102455418
13735_0:00006e	280357at32523	102454487
13735_0:000073	132836at32523	102458392
13735_0:000077	22014at32523	102445355
13735_0:000078	87602at32523	102462459
13735_0:00007b	43178at32523	102445103
13735_0:00007c	54262at32523	102460057
13735_0:00007d	229013at32523	102462214
13735_0:000081	309241at32523	102455901
13735_0:000083	102767at32523	102444163
13735_0:00008a	191124at32523	102446784
13735_0:00008f	242599at32523	102445601
13735_0:000090	255236at32523	102446542
13735_0:000094	34505at32523	102447529
13735_0:000099	270904at32523	102456415
13735_0:00009c	120495at32523	102459662
13735_0:00009e	200364at32523	102460771
13735_0:0000a4	304313at32523	102445842
13735_0:0000a8	286647at32523	102455005
13735_0:0000ab	203438at32523	102451770
13735_0:0000ad	75577at32523	102453280
13735_0:0000b1	267119at32523	102454007
13735_0:0000b8	258450at32523	106731248
13735_0:0000b9	247446at32523	102452510
13735_0:0000c5	217219at32523	102460772
13735_0:0000d8	262131at32523	102448204
13735_0:0000dc	84864at32523	102448435
13735_0:0000dd	209973at32523	102448672
13735_0:0000ed	94189at32523	102454916
13735_0:0000f3	301621at32523	102458476
13735_0:00010f	4177at32523	102445755
13735_0:000111	207340at32523	102446391
13735_0:00014b	285832at32523	102460949
13735_0:000156	43021at32523	102443769
13735_0:000158	189349at32523	102444706
13735_0:000159	34372at32523	102446392
13735_0:00015a	258912at32523	102445992
13735_0:00015d	155886at32523	102447371
13735_0:000160	158811at32523	102458394
13735_0:000162	6438at32523	102456238
13735_0:000167	101949at32523	102457904
13735_0:000168	46714at32523	102452261
13735_0:000169	8240at32523	102454329
13735_0:000170	191969at32523	102457476
13735_0:000172	176713at32523	102452851
13735_0:000174	129460at32523	102459590
13735_0:000175	144650at32523	102458151
13735_0:00017a	262489at32523	102454085
13735_0:000181	245369at32523	102463341
13735_0:000189	252355at32523	102445104
13735_0:000192	159778at32523	102449623
13735_0:000193	11855at32523	102450905
13735_0:000195	280763at32523	102457395
13735_0:000196	106313at32523	102458152
13735_0:000199	64071at32523	102449876
13735_0:0001af	178841at32523	102445106
13735_0:0001b0	61328at32523	102444488
13735_0:0001b5	73148at32523	102446239
13735_0:0001b8	306397at32523	102447205
13735_0:0001bb	46651at32523	102448031
13735_0:0001bc	51611at32523	102447451
13735_0:0001c0	28821at32523	102451053
13735_0:0001cc	180491at32523	102455589
13735_0:0001cd	226339at32523	102459029
13735_0:0001cf	180491at32523	102456160
13735_0:0001d1	219577at32523	102455174
13735_0:0001d2	126721at32523	102458793
13735_0:0001d4	145311at32523	102460132
13735_0:0001da	171311at32523	102458558
13735_0:0001db	84134at32523	102457736
13735_0:0001dc	265015at32523	102457477
13735_0:0001e3	172050at32523	102464021
13735_0:0001e5	163963at32523	102463588
13735_0:0001e8	277011at32523	102444489
13735_0:0001e9	250327at32523	102444708
13735_0:0001ea	256114at32523	102463110
13735_0:0001fd	146641at32523	102451219
13735_0:0001fe	83399at32523	102453449
13735_0:000203	100632at32523	102454415
13735_0:000206	255194at32523	102450664
13735_0:000209	105594at32523	102456318
13735_0:00020b	186648at32523	102455590
13735_0:00020c	93470at32523	102456572
13735_0:00020d	290018at32523	102456819
13735_0:000213	8118at32523	102460473
13735_0:000215	230361at32523	102459339
13735_0:000216	156433at32523	102459592
13735_0:000218	63076at32523	102458559
13735_0:000221	247071at32523	102447868
13735_0:000223	244751at32523	102448920
13735_0:000224	228500at32523	102451220
13735_0:000228	200014at32523	102445019
13735_0:000229	175562at32523	102444250
13735_0:00022b	251946at32523	102448437
13735_0:00022d	154801at32523	102450981
13735_0:00022e	294083at32523	102451693
13735_0:000230	72292at32523	102445758
13735_0:000231	73297at32523	102444490
13735_0:000235	186629at32523	102449790
13735_0:00024b	283776at32523	102452427
13735_0:00024d	19432at32523	102460060
13735_0:00025c	99258at32523	102453027
13735_0:00025e	165260at32523	102462947
13735_0:000263	35780at32523	102443934
13735_0:000265	159224at32523	102444561
13735_0:000266	250587at32523	102448996
13735_0:000267	57116at32523	102448124
13735_0:000268	281823at32523	106731684
13735_0:000272	92675at32523	102456496
13735_0:000273	48355at32523	102451375
13735_0:000274	88613at32523	102453190
13735_0:000275	104395at32523	102454251
13735_0:000278	12176at32523	102450358
13735_0:00027d	48355at32523	102451375
13735_0:00027f	71388at32523	102456982
13735_0:000285	97127at32523	102457737
13735_0:00028a	106441at32523	102458638
13735_0:00028b	69050at32523	102457990
13735_0:000292	64224at32523	102444327
13735_0:000296	168043at32523	102462861
13735_0:000298	102422at32523	102446956
13735_0:000299	22832at32523	102445760
13735_0:00029c	253018at32523	102447208
13735_0:00029e	272303at32523	102446715
13735_0:0002a3	182304at32523	102448208
13735_0:0002a9	130319at32523	102456906
13735_0:0002ab	139654at32523	102452178
13735_0:0002ad	175113at32523	102449717
13735_0:0002b7	27670at32523	102455178
13735_0:0002ba	56506at32523	102457907
13735_0:0002bf	170680at32523	102447955
13735_0:0002c1	203749at32523	102452430
13735_0:0002c2	203753at32523	102457155
13735_0:0002c6	280394at32523	102458864
13735_0:0002cc	81076at32523	102460234
13735_0:0002d8	203756at32523	102445761
13735_0:0002db	179971at32523	102447869
13735_0:0002e0	136833at32523	102446243
13735_0:0002e7	241551at32523	102450817
13735_0:0002e8	181994at32523	102450359
13735_0:0002e9	160941at32523	102451694
13735_0:0002ea	253206at32523	102451463
13735_0:0002ec	13552at32523	102451222
13735_0:0002fb	266457at32523	102458942
13735_0:0002fc	178785at32523	102445999
13735_0:000301	296017at32523	102456739
13735_0:000302	139285at32523	102461978
13735_0:000303	158013at32523	102458478
13735_0:000308	64182at32523	102449719
13735_0:00030a	90755at32523	102450360
13735_0:000313	93944at32523	102454253
13735_0:000317	108998at32523	102451297
13735_0:00031a	172011at32523	102459518
13735_0:000321	226775at32523	102448209
13735_0:000323	222686at32523	102461021
13735_0:000326	49209at32523	102458078
13735_0:000328	223192at32523	102454492
13735_0:000329	146829at32523	102461754
13735_0:00032a	207120at32523	102451056
13735_0:00032e	119446at32523	102459895
13735_0:000331	272339at32523	102447956
13735_0:000349	193243at32523	102461587
13735_0:00034a	62240at32523	102460626
13735_0:00034b	12263at32523	102460376
13735_0:00034c	58318at32523	102461347
13735_0:00034f	112434at32523	102463032
13735_0:000369	217078at32523	102449791
13735_0:00036b	183985at32523	102447619
13735_0:00036f	135005at32523	102454177
13735_0:000374	281414at32523	102457310
13735_0:00037c	223450at32523	102460475
13735_0:00037f	264296at32523	102459898
13735_0:000380	32661at32523	102449398
13735_0:000381	179123at32523	102450118
13735_0:000387	129777at32523	102444012
13735_0:00038a	87110at32523	102463506
13735_0:00038d	146998at32523	102449154
13735_0:00038f	186301at32523	102458641
13735_0:000391	283748at32523	102462383
13735_0:000394	119988at32523	102459667
13735_0:000399	58864at32523	102460712
13735_0:00039d	171134at32523	102457992
13735_0:00039e	166027at32523	102463033
13735_0:00039f	25345at32523	102450588
13735_0:0003a1	207425at32523	102453193
13735_0:0003a2	63823at32523	102456079
13735_0:0003a3	230262at32523	102454493
13735_0:0003a6	200324at32523	102454751
13735_0:0003a8	82303at32523	102455836
13735_0:0003ac	215649at32523	102453453
13735_0:0003ae	205613at32523	102456320
13735_0:0003b0	185160at32523	102445764
13735_0:0003b6	106876at32523	102447456
13735_0:0003ba	163709at32523	102447704
13735_0:0003be	294963at32523	102445024
13735_0:0003c2	46577at32523	102448211
13735_0:0003c4	85639at32523	102444013
13735_0:0003c5	235107at32523	102445524
13735_0:0003c7	167394at32523	102444784
