"gene","distance","pval"
"100073at32523",63.130827931969,0.999999999990279
"100078at32523",23.9821813916505,1
"100088at32523",410.919263192024,1.75222000016112e-25
"100098at32523",7.70374098292651,1
"1000at32523",109.585778929768,0.996795812060746
"100144at32523",11.3857979752685,1
"100151at32523",20.0916353576958,1
"100155at32523",9.02795745305352,1
"100325at32523",53.3815005844229,0.999999999999997
"10041at32523",594.853582084178,2.29927588423923e-53
"100516at32523",125.187461427404,0.951468138358739
"100560at32523",33.7915850524116,1
"100592at32523",43.7052339845712,1
"100617at32523",33.8893803221299,1
"100624at32523",64.3058372424391,0.999999999977579
"100631at32523",21.7651690964165,1
"100632at32523",33.3698530184821,1
"100736at32523",27.6622592545176,1
"100783at32523",509.410754033057,7.17986973014221e-40
"100796at32523",63.0356646920731,0.999999999990926
"100824at32523",324.599145535602,2.1207518963425e-14
"100932at32523",13.9049290404118,1
"101012at32523",18.1214612597293,1
"101090at32523",15.5949302044659,1
"101114at32523",522.894033416695,6.02877227394872e-42
"101120at32523",18.4985433276345,1
"101129at32523",11.5258828806109,1
"101134at32523",15.3510550284095,1
"101164at32523",29.5160661230941,1
"101208at32523",88.2227214983191,0.999993836257225
"101216at32523",301.60900815358,8.68035117867659e-12
"101251at32523",25.6178542590559,1
"101303at32523",1067.88801823973,5.87137610100151e-137
"10130at32523",5.52789305969692,1
"101373at32523",105.638800528679,0.998703705892125
"101417at32523",27.5770207133515,1
"101514at32523",90.6467457828116,0.999984900063832
"101524at32523",8.5060709139887,1
"101542at32523",1297.69173836659,1.76127541660234e-180
"101591at32523",35.008953480691,1
"101655at32523",111.971714674592,0.994713838103727
"101675at32523",53.0975525843062,0.999999999999998
"101797at32523",54.0296657080097,0.999999999999994
"101803at32523",282.373707557623,9.63179653304585e-10
"101948at32523",107.932770893939,0.997780167860067
"101949at32523",786.204831781896,8.33616934281203e-86
"102110at32523",1012.93194159474,9.41448481127978e-127
"102347at32523",18.0720733868727,1
"102420at32523",336.096400121835,9.09786999152947e-16
"102422at32523",52.273581127713,0.999999999999999
"102443at32523",252.532182203362,7.25052115039569e-07
"10244at32523",24.0418992989093,1
"102529at32523",732.66606116364,1.74491460680237e-76
"102595at32523",56.1491385019023,0.999999999999962
"102616at32523",14.884735690002,1
"102721at32523",156.561707648178,0.405126422512113
"102767at32523",227.324700982364,9.04533174018664e-05
"102781at32523",63.0553844159032,0.999999999990795
"102875at32523",10.2979859165023,1
"102905at32523",20.3992705918366,1
"103094at32523",50.3623883247714,1
"103109at32523",95.1266828242892,0.999931171684991
"103160at32523",136.87848773598,0.820600227584399
"103182at32523",123.455964139824,0.961888014317381
"10325at32523",8.9685785193854,1
"103286at32523",29.3756975876159,1
"103318at32523",61.1176275848171,0.999999999997818
"103350at32523",5.32652082563336,1
"103359at32523",23.192414985237,1
"10341at32523",110.565047697213,0.996048776096545
"103448at32523",26.9739946661324,1
"103579at32523",242.134754629869,5.82992922063431e-06
"103602at32523",52.0218191877197,0.999999999999999
