"gene","distance","pval"
"100073at32523",108.544142812693,0.997452408732943
"100078at32523",30.702267292246,1
"100088at32523",935.38450347274,1.61351927167729e-112
"100098at32523",17.5975971351836,1
"1000at32523",162.290844413869,0.288193260232185
"100144at32523",22.9830922808456,1
"100151at32523",14.3864518470469,1
"100155at32523",23.5469273742385,1
"100325at32523",26.7389077832338,1
"10041at32523",637.846173640779,2.01477216759903e-60
"100516at32523",51.6175365599592,1
"100560at32523",11.7946106036497,1
"100592at32523",68.4500728575372,0.999999999648932
"100617at32523",79.0911546851608,0.999999876948701
"100624at32523",111.286511377756,0.995405953664653
"100631at32523",24.2567948259193,1
"100632at32523",92.6226655204351,0.999969878284507
"100736at32523",39.6250755121955,1
"100783at32523",619.671402349842,2.02716204436781e-57
"100796at32523",125.324906391219,0.950556474034885
"100824at32523",361.999178249865,5.55662998952039e-19
"100932at32523",33.2624201999911,1
"101012at32523",20.6854113265714,1
"101090at32523",21.6875245682367,1
"101114at32523",894.127522683224,4.91321964146722e-105
"101120at32523",25.0918392519706,1
"101129at32523",16.6934543868767,1
"101134at32523",25.4567527010964,1
"101164at32523",25.3253856918799,1
"101208at32523",58.6456993885475,0.999999999999689
"101216at32523",56.4292942397382,0.999999999999952
"101251at32523",17.1041996726857,1
"101303at32523",814.419637812051,8.84626348819572e-91
"10130at32523",9.21183762729841,1
"101373at32523",188.451088971831,0.0270666360850153
"101417at32523",47.7707252719206,1
"101514at32523",138.149176470913,0.799450893354218
"101524at32523",7.11397124704863,1
"101542at32523",304.05197243447,4.6692996850645e-12
"101591at32523",118.811347474126,0.98140443224821
"101655at32523",201.112723745686,0.00549741025684135
"101675at32523",203.060254190385,0.00420054398323908
"101797at32523",94.1617267361791,0.999949627358003
"101803at32523",488.702014665194,9.99654088707616e-37
"101948at32523",149.522948987211,0.564386641583546
"101949at32523",557.657452081473,2.14416311688608e-47
"102110at32523",1036.04138362463,4.93879979931712e-131
"102347at32523",40.4705942057797,1
"102420at32523",674.997460159349,1.21872749461249e-66
"102422at32523",51.6537831856478,1
"102443at32523",80.4151223795015,0.999999770168203
"10244at32523",48.9567238046404,1
