"","Gene","Species"
"1","cheAbi","100088at32523"
"2","cheMyd","100088at32523"
"3","chrPic","100088at32523"
"4","cuoMcc","100088at32523"
"5","derCor","100088at32523"
"6","derMaw","100088at32523"
"7","gopAga","100088at32523"
"8","plaMeg","100088at32523"
"9","carIns","102110at32523"
"10","cheAbi","102110at32523"
"11","cheMyd","102110at32523"
"12","chrPic","102110at32523"
"13","derMaw","102110at32523"
"14","emySub","102110at32523"
"15","gopAga","102110at32523"
"16","malTer","102110at32523"
"17","pelCas","102110at32523"
"18","pelSin","102110at32523"
"19","plaMeg","102110at32523"
"20","terMex","102110at32523"
"21","carIns","105916at32523"
"22","cheAbi","105916at32523"
"23","cheMyd","105916at32523"
"24","cheSer","105916at32523"
"25","chrPic","105916at32523"
"26","derCor","105916at32523"
"27","gopAga","105916at32523"
"28","malTer","105916at32523"
"29","mesTub","105916at32523"
"30","pelCas","105916at32523"
"31","pelSin","105916at32523"
"32","podExp","105916at32523"
"33","cuoAmb","105917at32523"
"34","cheMyd","106993at32523"
"35","chrPic","106993at32523"
"36","cuoMcc","106993at32523"
"37","derCor","106993at32523"
"38","derMaw","106993at32523"
"39","emySub","106993at32523"
"40","gopAga","106993at32523"
"41","malTer","106993at32523"
"42","pelCas","106993at32523"
"43","pelSin","106993at32523"
"44","plaMeg","106993at32523"
"45","podExp","106993at32523"
"46","terMex","106993at32523"
"47","cheAbi","107213at32523"
"48","chrPic","107213at32523"
"49","cuoAmb","107213at32523"
"50","cuoMcc","107213at32523"
"51","derMaw","107213at32523"
"52","emySub","107213at32523"
"53","gopAga","107213at32523"
"54","mesTub","107213at32523"
"55","plaMeg","107213at32523"
"56","terMex","107213at32523"
"57","carIns","115499at32523"
"58","cheAbi","115499at32523"
"59","cheMyd","115499at32523"
"60","chrPic","115499at32523"
"61","cuoMcc","115499at32523"
"62","derCor","115499at32523"
"63","derMaw","115499at32523"
"64","emySub","115499at32523"
"65","gopAga","115499at32523"
"66","malTer","115499at32523"
"67","mesTub","115499at32523"
"68","pelCas","115499at32523"
"69","pelSin","115499at32523"
"70","plaMeg","115499at32523"
"71","podExp","115499at32523"
"72","cuoMcc","118839at32523"
"73","derCor","118839at32523"
"74","gopAga","118839at32523"
"75","mesTub","118839at32523"
"76","pelCas","118839at32523"
"77","podExp","118839at32523"
"78","terMex","118839at32523"
"79","cuoMcc","119909at32523"
"80","derMaw","119909at32523"
"81","cheMyd","121184at32523"
"82","pelSin","121184at32523"
"83","cheAbi","124988at32523"
"84","cheSer","124988at32523"
"85","chrPic","124988at32523"
"86","cuoAmb","124988at32523"
"87","cuoMcc","124988at32523"
"88","gopAga","124988at32523"
"89","plaMeg","124988at32523"
"90","terMex","124988at32523"
"91","malTer","130393at32523"
"92","plaMeg","130393at32523"
"93","terMex","130393at32523"
"94","chrPic","133426at32523"
"95","terMex","133426at32523"
"96","cheAbi","134798at32523"
"97","cheAbi","135990at32523"
"98","chrPic","135990at32523"
"99","gopAga","135990at32523"
"100","malTer","135990at32523"
"101","carIns","137324at32523"
"102","cheAbi","137324at32523"
"103","cheSer","137324at32523"
"104","chrPic","137324at32523"
"105","cuoAmb","137324at32523"
"106","cuoMcc","137324at32523"
"107","derCor","137324at32523"
"108","derMaw","137324at32523"
"109","emySub","137324at32523"
"110","gopAga","137324at32523"
"111","malTer","137324at32523"
"112","mesTub","137324at32523"
"113","pelCas","137324at32523"
"114","pelSin","137324at32523"
"115","plaMeg","137324at32523"
"116","podExp","137324at32523"
"117","terMex","137324at32523"
"118","carIns","143078at32523"
"119","cheMyd","143078at32523"
"120","chrPic","143078at32523"
"121","cuoMcc","143078at32523"
"122","derCor","143078at32523"
"123","gopAga","143078at32523"
"124","mesTub","143078at32523"
"125","pelSin","143078at32523"
"126","plaMeg","143078at32523"
"127","podExp","143078at32523"
"128","terMex","143078at32523"
"129","carIns","155190at32523"
"130","cheAbi","155190at32523"
"131","cheMyd","155190at32523"
"132","cheSer","155190at32523"
"133","chrPic","155190at32523"
"134","cuoAmb","155190at32523"
"135","cuoMcc","155190at32523"
"136","derMaw","155190at32523"
"137","emySub","155190at32523"
"138","gopAga","155190at32523"
"139","mesTub","155190at32523"
"140","pelCas","155190at32523"
"141","plaMeg","155190at32523"
"142","podExp","155190at32523"
"143","terMex","155190at32523"
"144","carIns","158268at32523"
"145","cheAbi","158268at32523"
"146","cheMyd","158268at32523"
"147","cheSer","158268at32523"
"148","chrPic","158268at32523"
"149","cuoAmb","158268at32523"
"150","cuoMcc","158268at32523"
"151","derCor","158268at32523"
"152","derMaw","158268at32523"
"153","emySub","158268at32523"
"154","gopAga","158268at32523"
"155","malTer","158268at32523"
"156","mesTub","158268at32523"
"157","pelSin","158268at32523"
"158","plaMeg","158268at32523"
"159","podExp","158268at32523"
"160","terMex","158268at32523"
"161","cheAbi","158493at32523"
"162","cheMyd","158493at32523"
"163","cheSer","158493at32523"
"164","chrPic","158493at32523"
"165","derCor","158493at32523"
"166","gopAga","158493at32523"
"167","malTer","158493at32523"
"168","terMex","158493at32523"
"169","cuoAmb","168146at32523"
"170","chrPic","168840at32523"
"171","cheAbi","169719at32523"
"172","cheMyd","169719at32523"
"173","cheSer","169719at32523"
"174","chrPic","169719at32523"
"175","derCor","169719at32523"
"176","emySub","169719at32523"
"177","gopAga","169719at32523"
"178","mesTub","169719at32523"
"179","pelSin","169719at32523"
"180","plaMeg","169719at32523"
"181","podExp","169719at32523"
"182","cuoAmb","179871at32523"
"183","pelSin","180491at32523"
"184","cheMyd","18091at32523"
"185","cheSer","18091at32523"
"186","gopAga","18091at32523"
"187","terMex","18091at32523"
"188","carIns","185680at32523"
"189","cheAbi","185680at32523"
"190","cheMyd","185680at32523"
"191","cheSer","185680at32523"
"192","chrPic","185680at32523"
"193","cuoAmb","185680at32523"
"194","cuoMcc","185680at32523"
"195","derMaw","185680at32523"
"196","emySub","185680at32523"
"197","gopAga","185680at32523"
"198","malTer","185680at32523"
"199","mesTub","185680at32523"
"200","pelCas","185680at32523"
"201","pelSin","185680at32523"
"202","plaMeg","185680at32523"
"203","podExp","185680at32523"
"204","terMex","185680at32523"
"205","cheAbi","189244at32523"
"206","cheSer","189244at32523"
"207","derCor","189244at32523"
"208","emySub","189244at32523"
"209","gopAga","189244at32523"
"210","mesTub","189244at32523"
"211","pelCas","189244at32523"
"212","pelSin","189244at32523"
"213","plaMeg","189244at32523"
"214","terMex","189244at32523"
"215","derCor","19303at32523"
"216","gopAga","19303at32523"
"217","plaMeg","19303at32523"
"218","terMex","19303at32523"
"219","chrPic","193873at32523"
"220","emySub","193873at32523"
"221","mesTub","193873at32523"
"222","pelSin","193873at32523"
"223","plaMeg","193873at32523"
"224","podExp","193873at32523"
"225","terMex","193873at32523"
"226","cheSer","194583at32523"
"227","cuoAmb","194583at32523"
"228","cuoMcc","194583at32523"
"229","gopAga","194583at32523"
"230","malTer","200031at32523"
"231","cheMyd","202849at32523"
"232","cuoAmb","202849at32523"
"233","cuoMcc","202849at32523"
"234","cheAbi","203233at32523"
"235","cheMyd","203233at32523"
"236","cheSer","203233at32523"
"237","chrPic","203233at32523"
"238","cuoMcc","203233at32523"
"239","derCor","203233at32523"
"240","derMaw","203233at32523"
"241","emySub","203233at32523"
"242","pelCas","203233at32523"
"243","pelSin","203233at32523"
"244","plaMeg","203233at32523"
"245","podExp","203233at32523"
"246","carIns","203712at32523"
"247","cheMyd","203712at32523"
"248","cheSer","203712at32523"
"249","cuoMcc","203712at32523"
"250","derCor","203712at32523"
"251","derMaw","203712at32523"
"252","malTer","203712at32523"
"253","mesTub","203712at32523"
"254","pelSin","203712at32523"
"255","podExp","203712at32523"
"256","terMex","203712at32523"
"257","cheSer","209160at32523"
"258","chrPic","209160at32523"
"259","derCor","209160at32523"
"260","emySub","209160at32523"
"261","malTer","209160at32523"
"262","pelSin","209160at32523"
"263","plaMeg","209160at32523"
"264","terMex","209160at32523"
"265","carIns","216370at32523"
"266","cheAbi","216370at32523"
"267","cheMyd","216370at32523"
"268","cheSer","216370at32523"
"269","chrPic","216370at32523"
"270","cuoAmb","216370at32523"
"271","cuoMcc","216370at32523"
"272","derCor","216370at32523"
"273","derMaw","216370at32523"
"274","emySub","216370at32523"
"275","gopAga","216370at32523"
"276","malTer","216370at32523"
"277","mesTub","216370at32523"
"278","pelCas","216370at32523"
"279","pelSin","216370at32523"
"280","plaMeg","216370at32523"
"281","podExp","216370at32523"
"282","terMex","216370at32523"
"283","cuoMcc","223827at32523"
"284","cheMyd","229324at32523"
"285","chrPic","229324at32523"
"286","cuoAmb","229324at32523"
"287","cuoMcc","229324at32523"
"288","derCor","229324at32523"
"289","cheAbi","229340at32523"
"290","cheMyd","229340at32523"
"291","cheSer","229340at32523"
"292","chrPic","229340at32523"
"293","cuoAmb","229340at32523"
"294","cuoMcc","229340at32523"
"295","derCor","229340at32523"
"296","derMaw","229340at32523"
"297","emySub","229340at32523"
"298","gopAga","229340at32523"
"299","malTer","229340at32523"
"300","mesTub","229340at32523"
"301","pelCas","229340at32523"
"302","pelSin","229340at32523"
"303","plaMeg","229340at32523"
"304","podExp","229340at32523"
"305","terMex","229340at32523"
"306","cheAbi","235309at32523"
"307","cheSer","235309at32523"
"308","derMaw","235309at32523"
"309","emySub","235309at32523"
"310","mesTub","235309at32523"
"311","pelCas","235309at32523"
"312","plaMeg","235309at32523"
"313","cheAbi","237758at32523"
"314","cheMyd","237758at32523"
"315","cheSer","237758at32523"
"316","chrPic","237758at32523"
"317","cuoMcc","237758at32523"
"318","derCor","237758at32523"
"319","derMaw","237758at32523"
"320","gopAga","237758at32523"
"321","malTer","237758at32523"
"322","plaMeg","237758at32523"
"323","terMex","237758at32523"
"324","carIns","238128at32523"
"325","cheAbi","238128at32523"
"326","cheMyd","238128at32523"
"327","cheSer","238128at32523"
"328","chrPic","238128at32523"
"329","cuoAmb","238128at32523"
"330","cuoMcc","238128at32523"
"331","derCor","238128at32523"
"332","derMaw","238128at32523"
"333","emySub","238128at32523"
"334","gopAga","238128at32523"
"335","malTer","238128at32523"
"336","mesTub","238128at32523"
"337","pelCas","238128at32523"
"338","pelSin","238128at32523"
"339","plaMeg","238128at32523"
"340","podExp","238128at32523"
"341","terMex","238128at32523"
"342","cheSer","239568at32523"
"343","cuoAmb","239568at32523"
"344","cuoMcc","239568at32523"
"345","pelSin","239568at32523"
"346","plaMeg","239568at32523"
"347","cheAbi","24340at32523"
"348","cheMyd","24340at32523"
"349","chrPic","24340at32523"
"350","cuoAmb","24340at32523"
"351","cuoMcc","24340at32523"
"352","derCor","24340at32523"
"353","derMaw","24340at32523"
"354","emySub","24340at32523"
"355","gopAga","24340at32523"
"356","malTer","24340at32523"
"357","mesTub","24340at32523"
"358","pelCas","24340at32523"
"359","pelSin","24340at32523"
"360","plaMeg","24340at32523"
"361","podExp","24340at32523"
"362","terMex","24340at32523"
"363","cheSer","244174at32523"
"364","chrPic","244174at32523"
"365","cuoMcc","244174at32523"
"366","emySub","244174at32523"
"367","gopAga","244174at32523"
"368","mesTub","244174at32523"
"369","pelCas","244174at32523"
"370","podExp","244174at32523"
"371","carIns","249219at32523"
"372","cheAbi","249219at32523"
"373","cheMyd","249219at32523"
"374","cheSer","249219at32523"
"375","cuoAmb","249219at32523"
"376","cuoMcc","249219at32523"
"377","derMaw","249219at32523"
"378","gopAga","249219at32523"
"379","cheMyd","249397at32523"
"380","chrPic","249397at32523"
"381","cuoAmb","249397at32523"
"382","derCor","249397at32523"
"383","derMaw","249397at32523"
"384","emySub","249397at32523"
"385","gopAga","249397at32523"
"386","malTer","249397at32523"
"387","pelSin","249397at32523"
"388","plaMeg","249397at32523"
"389","cheAbi","249574at32523"
"390","cheSer","249574at32523"
"391","chrPic","249574at32523"
"392","cuoMcc","249574at32523"
"393","derCor","249574at32523"
"394","malTer","249574at32523"
"395","plaMeg","249574at32523"
"396","terMex","249574at32523"
"397","cheSer","25058at32523"
"398","cuoMcc","25058at32523"
"399","derCor","25058at32523"
"400","derMaw","25058at32523"
"401","emySub","25058at32523"
"402","gopAga","25058at32523"
"403","terMex","25058at32523"
"404","cheMyd","250844at32523"
"405","derCor","250844at32523"
"406","derMaw","250844at32523"
"407","emySub","250844at32523"
"408","gopAga","250844at32523"
"409","malTer","250844at32523"
"410","mesTub","250844at32523"
"411","pelCas","250844at32523"
"412","pelSin","250844at32523"
"413","podExp","250844at32523"
"414","cuoAmb","259972at32523"
"415","cheMyd","26466at32523"
"416","emySub","26466at32523"
"417","cheMyd","265834at32523"
"418","cheSer","265834at32523"
"419","cuoAmb","265834at32523"
"420","emySub","265834at32523"
"421","gopAga","265834at32523"
"422","malTer","265834at32523"
"423","mesTub","265834at32523"
"424","pelCas","265834at32523"
"425","pelSin","265834at32523"
"426","podExp","265834at32523"
"427","terMex","265834at32523"
"428","cheAbi","267472at32523"
"429","cheMyd","267472at32523"
"430","cheSer","267472at32523"
"431","gopAga","267472at32523"
"432","malTer","267472at32523"
"433","cheAbi","279702at32523"
"434","cheSer","279702at32523"
"435","chrPic","279702at32523"
"436","cuoAmb","279702at32523"
"437","derMaw","279702at32523"
"438","emySub","279702at32523"
"439","gopAga","279702at32523"
"440","malTer","279702at32523"
"441","mesTub","279702at32523"
"442","pelSin","279702at32523"
"443","plaMeg","279702at32523"
"444","terMex","279702at32523"
"445","cheAbi","282898at32523"
"446","cheMyd","282898at32523"
"447","cheSer","282898at32523"
"448","chrPic","282898at32523"
"449","cuoAmb","282898at32523"
"450","cuoMcc","282898at32523"
"451","derCor","282898at32523"
"452","derMaw","282898at32523"
"453","emySub","282898at32523"
"454","gopAga","282898at32523"
"455","malTer","282898at32523"
"456","mesTub","282898at32523"
"457","pelCas","282898at32523"
"458","pelSin","282898at32523"
"459","plaMeg","282898at32523"
"460","podExp","282898at32523"
"461","malTer","283521at32523"
"462","carIns","284008at32523"
"463","cheMyd","284008at32523"
"464","cheSer","284008at32523"
"465","chrPic","284008at32523"
"466","cuoAmb","284008at32523"
