"n","species","busco_id"
"546","mesTub","308747at32523"
"547","pelCas","308747at32523"
"548","plaMeg","308747at32523"
"549","podExp","308747at32523"
"550","terMex","308747at32523"
"551","cuoMcc","32130at32523"
"552","malTer","32130at32523"
"553","carIns","34372at32523"
"554","cheAbi","34372at32523"
"555","cheMyd","34372at32523"
"556","cheSer","34372at32523"
"557","chrPic","34372at32523"
"558","cuoAmb","34372at32523"
"559","derCor","34372at32523"
"560","derMaw","34372at32523"
"561","emySub","34372at32523"
"562","gopAga","34372at32523"
"563","malTer","34372at32523"
"564","mesTub","34372at32523"
"565","pelCas","34372at32523"
"566","pelSin","34372at32523"
"567","plaMeg","34372at32523"
"568","podExp","34372at32523"
"569","terMex","34372at32523"
"570","cheAbi","3576at32523"
"571","cheMyd","3576at32523"
"572","cheSer","3576at32523"
"573","chrPic","3576at32523"
"574","cuoMcc","3576at32523"
"575","derCor","3576at32523"
"576","derMaw","3576at32523"
"577","emySub","3576at32523"
"578","gopAga","3576at32523"
"579","mesTub","3576at32523"
"580","pelCas","3576at32523"
"581","pelSin","3576at32523"
"582","plaMeg","3576at32523"
"583","podExp","3576at32523"
"584","terMex","3576at32523"
"585","cheAbi","44174at32523"
"586","cheMyd","44174at32523"
"587","cheSer","44174at32523"
"588","chrPic","44174at32523"
"589","cuoAmb","44174at32523"
"590","cuoMcc","44174at32523"
"591","derCor","44174at32523"
"592","derMaw","44174at32523"
"593","emySub","44174at32523"
"594","gopAga","44174at32523"
"595","malTer","44174at32523"
"596","pelCas","44174at32523"
"597","pelSin","44174at32523"
"598","plaMeg","44174at32523"
"599","podExp","44174at32523"
"600","terMex","44174at32523"
"601","cuoAmb","48547at32523"
"602","cuoMcc","48547at32523"
"603","carIns","53386at32523"
"604","cheAbi","53386at32523"
"605","cheMyd","53386at32523"
"606","cheSer","53386at32523"
"607","chrPic","53386at32523"
"608","cuoAmb","53386at32523"
"609","cuoMcc","53386at32523"
"610","derCor","53386at32523"
"611","emySub","53386at32523"
"612","gopAga","53386at32523"
"613","pelCas","53386at32523"
"614","pelSin","53386at32523"
"615","plaMeg","53386at32523"
"616","podExp","53386at32523"
"617","chrPic","62240at32523"
"618","malTer","62240at32523"
"619","plaMeg","62240at32523"
"620","cheMyd","6290at32523"
"621","chrPic","6290at32523"
"622","cuoAmb","6290at32523"
"623","malTer","6290at32523"
"624","terMex","6290at32523"
"625","cheAbi","64249at32523"
"626","cheMyd","64249at32523"
"627","chrPic","64249at32523"
"628","cuoMcc","64249at32523"
"629","mesTub","64249at32523"
"630","plaMeg","64249at32523"
"631","podExp","64249at32523"
"632","terMex","64249at32523"
"633","cheMyd","69006at32523"
"634","cuoAmb","69006at32523"
"635","cheAbi","7066at32523"
"636","cuoAmb","7066at32523"
"637","cuoMcc","7066at32523"
"638","gopAga","7066at32523"
"639","mesTub","7066at32523"
"640","pelCas","7066at32523"
"641","pelSin","7066at32523"
"642","plaMeg","7066at32523"
"643","carIns","74571at32523"
"644","cheMyd","74571at32523"
"645","cuoAmb","74571at32523"
"646","cuoMcc","74571at32523"
"647","gopAga","74571at32523"
"648","malTer","74571at32523"
"649","mesTub","74571at32523"
"650","pelCas","74571at32523"
"651","pelSin","74571at32523"
"652","plaMeg","74571at32523"
"653","terMex","74571at32523"
"654","carIns","7966at32523"
"655","cheAbi","7966at32523"
"656","cheMyd","7966at32523"
"657","cheSer","7966at32523"
"658","chrPic","7966at32523"
"659","cuoAmb","7966at32523"
"660","cuoMcc","7966at32523"
"661","derCor","7966at32523"
"662","emySub","7966at32523"
"663","gopAga","7966at32523"
"664","malTer","7966at32523"
"665","mesTub","7966at32523"
"666","pelCas","7966at32523"
"667","pelSin","7966at32523"
"668","plaMeg","7966at32523"
"669","podExp","7966at32523"
"670","terMex","7966at32523"
"671","cheAbi","82211at32523"
"672","cheSer","82211at32523"
"673","cuoMcc","82211at32523"
"674","derMaw","82211at32523"
"675","gopAga","82211at32523"
"676","pelSin","82211at32523"
"677","carIns","82692at32523"
"678","cheAbi","82692at32523"
"679","cheMyd","82692at32523"
"680","cheSer","82692at32523"
"681","chrPic","82692at32523"
"682","cuoMcc","82692at32523"
"683","derCor","82692at32523"
"684","derMaw","82692at32523"
"685","emySub","82692at32523"
"686","gopAga","82692at32523"
"687","mesTub","82692at32523"
"688","pelCas","82692at32523"
"689","pelSin","82692at32523"
"690","terMex","82692at32523"
"691","cheAbi","88654at32523"
"692","cuoAmb","88654at32523"
"693","cuoMcc","88654at32523"
"694","gopAga","88654at32523"
"695","plaMeg","88654at32523"
"696","malTer","99669at32523"
"697","plaMeg","99669at32523"
